word		onto_global			onto_domain				second_feature
CQTV公共农村			channel_name				CQTV公共农村				channel
CQTV娱乐				channel_name				CQTV娱乐				channel
CQTV少儿				channel_name				CQTV少儿				channel
CQTV影视				channel_name				CQTV影视				channel
CQTV手持电视			channel_name				CQTV手持电视				channel
CQTV新闻				channel_name				CQTV新闻				channel
CQTV时尚				channel_name				CQTV时尚				channel
CQTV汽摩				channel_name				CQTV汽摩				channel
CQTV生活				channel_name				CQTV生活				channel
CQTV科教				channel_name				CQTV科教				channel
CQTV移动				channel_name				CQTV移动				channel
CQTV都市				channel_name				CQTV都市				channel
DOGTV				channel_name				DOGTV				channel
DV生活				channel_name				DV生活				channel
FCC星尚				channel_name				FCC星尚				channel
FCC第一财经			channel_name				FCC第一财经				channel
FCC第1财经			channel_name				FCC第一财经				channel
HD娱乐				channel_name				HD娱乐				channel
IP剧场				channel_name				IP剧场				channel
SCTV2				channel_name				SCTV-2				channel
四川2台				channel_name				SCTV-2				channel
四川2套				channel_name				SCTV-2				channel
四川2频道				channel_name				SCTV-2				channel
SCTV2高清			channel_name				SCTV-2高清				channel
四川2套高清			channel_name				SCTV-2高清				channel
SCTV3				channel_name				SCTV-3				channel
四川3台				channel_name				SCTV-3				channel
四川3套				channel_name				SCTV-3				channel
四川3频道				channel_name				SCTV-3				channel
SCTV3高清			channel_name				SCTV-3高清				channel
四川3套高清		    channel_name				SCTV-3高清				channel
SCTV4				channel_name				SCTV-4				channel
四川4台				channel_name				SCTV-4				channel
四川4套				channel_name				SCTV-4				channel
四川4频道				channel_name				SCTV-4				channel
SCTV5				channel_name				SCTV-5				channel
四川5台				channel_name				SCTV-5				channel
四川5套				channel_name				SCTV-5				channel
四川5频道				channel_name				SCTV-5				channel
SCTV5高清			channel_name				SCTV-5高清				channel
四川5台高清		    channel_name				SCTV-5高清				channel
四川5套高清		    channel_name				SCTV-5高清				channel
SCTV6				channel_name				SCTV-6				channel
四川6台				channel_name				SCTV-6				channel
四川6套				channel_name				SCTV-6				channel
四川6频道				channel_name				SCTV-6				channel
SCTV7				channel_name				SCTV-7				channel
四川7台				channel_name				SCTV-7				channel
四川7套				channel_name				SCTV-7				channel
四川7频道				channel_name				SCTV-7				channel
SCTV7高清			channel_name				SCTV-7高清				channel
四川7台高清		    channel_name				SCTV-7高清				channel
四川7套高清		    channel_name				SCTV-7高清				channel
SCTV8				channel_name				SCTV-8				channel
四川8台				channel_name				SCTV-8				channel
四川8套				channel_name				SCTV-8				channel
四川8频道				channel_name				SCTV-8				channel
四川科教			    channel_name				SCTV-8				channel
SCTV9				channel_name				SCTV-9				channel
四川9台				channel_name				SCTV-9				channel
四川9套				channel_name				SCTV-9				channel
四川9频道				channel_name				SCTV-9				channel
七彩戏剧				channel_name				七彩戏剧				channel
7彩戏剧				channel_name				七彩戏剧				channel
三亚1台				channel_name				三亚1台				channel
三亚1套				channel_name				三亚1台				channel
三亚一台				channel_name				三亚1台				channel
三亚一套				channel_name				三亚1台				channel
三沙卫视				channel_name				三沙卫视				channel
三沙台				channel_name				三沙卫视				channel
上海星尚				channel_name				上海星尚				channel
上饶市电信1			channel_name				上饶市电信1				channel
上饶市电信2			channel_name				上饶市电信2				channel
上饶市电信3			channel_name				上饶市电信3				channel
世界地理				channel_name				世界地理				channel
东南卫视				channel_name				东南卫视				channel
东南台				channel_name				东南卫视				channel
东南卫视高清			channel_name				东南卫视高清				channel
东方卫视				channel_name				东方卫视				channel
东方台				channel_name				东方卫视				channel
蕃茄台				channel_name				东方卫视				channel
东方卫视高清			channel_name				东方卫视高清				channel
蕃茄台高清			channel_name				东方卫视高清				channel
东方电影				channel_name				东方电影				channel
东方电影1				channel_name				东方电影1				channel
东方电影一			channel_name				东方电影1				channel
东方财经				channel_name				东方财经				channel
东方购物				channel_name				东方购物				channel
东方购物1				channel_name				东方购物1				channel
东方购物一			channel_name				东方购物1				channel
东方购物1HD			channel_name				东方购物1高清				channel
